Time,Solar MJ/m2,Wind m/s,Tair C,RH %
7/1/2014 0:00:00,-0.00752822,4.159,24.54,69.97
7/1/2014 1:00:00,-0.003901278,4.365,20.41,77.92
7/1/2014 2:00:00,-0.004068,5.1,19.98,88.5
7/1/2014 3:00:00,-0.004106813,4.486,18.54,89.6
7/1/2014 4:00:00,-0.003597984,7.05,18.41,85.5
7/1/2014 5:00:00,-0.001519799,4.047,19.27,88.8
7/1/2014 6:00:00,0.002835141,3.778,18.35,90
7/1/2014 7:00:00,0.1120192,4.032,18.76,86.4
7/1/2014 8:00:00,0.6644056,4.52,19.56,81.7
7/1/2014 9:00:00,1.550143,4.255,20.95,81.3
7/1/2014 10:00:00,1.963723,4.084,20.6,73.98
7/1/2014 11:00:00,2.175288,3.3,22.18,69.29
7/1/2014 12:00:00,2.403278,2.898,23.75,60.38
7/1/2014 13:00:00,2.848782,2.607,25.23,53.08
7/1/2014 14:00:00,3.148042,2.513,26.62,51.16
7/1/2014 15:00:00,2.00387,1.954,26.91,47.13
7/1/2014 16:00:00,1.425956,2.57,26.82,48.63
7/1/2014 17:00:00,1.18389,2.591,26.7,50.84
7/1/2014 18:00:00,1.119935,3.319,26.67,47.49
7/1/2014 19:00:00,0.814615,3.727,26.14,53.44
7/1/2014 20:00:00,0.1232864,2.977,23.94,64.11
7/1/2014 21:00:00,-0.007868228,2.045,22.42,67.82
7/1/2014 22:00:00,-0.009963739,1.916,21.58,73.05
7/1/2014 23:00:00,-0.00924461,2.179,20.73,76.04
7/2/2014 0:00:00,-0.00907597,2.302,20.27,76.95
7/2/2014 1:00:00,-0.006208973,2.609,20.12,75.27
7/2/2014 2:00:00,-0.007977808,2.386,19.44,82.2
7/2/2014 3:00:00,-0.007156925,2.173,19.06,84.3
7/2/2014 4:00:00,-0.005536321,2.519,18.67,88
7/2/2014 5:00:00,-0.002514213,2.317,18.74,87.3
7/2/2014 6:00:00,0.0006338697,3.515,19.2,88.1
7/2/2014 7:00:00,0.02022881,2.673,18.99,88.1
7/2/2014 8:00:00,0.005822212,3.321,17.21,94.3
7/2/2014 9:00:00,0.03074328,3.158,16.23,93.2
7/2/2014 10:00:00,0.1196043,1.322,16.9,95.9
7/2/2014 11:00:00,0.2221979,3.852,17.17,95.8
7/2/2014 12:00:00,0.3357508,1.83,17.96,94.2
7/2/2014 13:00:00,0.4664096,2.594,18.14,94.5
7/2/2014 14:00:00,1.297205,4.014,18.6,87.5
7/2/2014 15:00:00,0.8230013,3.732,19.39,89.2
7/2/2014 16:00:00,1.522653,2.537,20.86,82
7/2/2014 17:00:00,1.139344,2.168,21.47,75.63
7/2/2014 18:00:00,1.384152,2.902,21.95,78.38
7/2/2014 19:00:00,0.6032798,3.135,20.75,79.66
7/2/2014 20:00:00,0.1789464,2.919,19.46,89.7
7/2/2014 21:00:00,-0.006878726,1.972,18.04,93.8
7/2/2014 22:00:00,-0.007175426,1.43,17.39,96.1
7/2/2014 23:00:00,-0.007187103,0.384,16.7,97.8
7/3/2014 0:00:00,-0.006175298,0.2,16.31,98.5
7/3/2014 1:00:00,-0.006277119,0.258,16.27,98.3
7/3/2014 2:00:00,-0.004255209,0.838,15.85,95.9
7/3/2014 3:00:00,-0.001487945,2.011,16.1,95
7/3/2014 4:00:00,-0.005141361,1.609,15.9,95.9
7/3/2014 5:00:00,-0.001488902,1.412,16.16,94.6
7/3/2014 6:00:00,0.005402071,1.805,16.1,95.4
7/3/2014 7:00:00,0.1406008,3.108,16.42,97.1
7/3/2014 8:00:00,0.3091453,3.383,16.74,97.8
7/3/2014 9:00:00,0.8816473,3.217,18.7,93.2
7/3/2014 10:00:00,0.8399471,3.781,18.94,87.8
7/3/2014 11:00:00,2.474258,3.861,21.86,75.99
7/3/2014 12:00:00,3.130651,3.887,24.35,66.65
7/3/2014 13:00:00,3.138919,4.303,25.88,60.69
7/3/2014 14:00:00,3.32946,5.175,27.01,56.49
7/3/2014 15:00:00,3.343466,4.881,27.82,52.87
7/3/2014 16:00:00,2.397393,4.787,27.78,58
7/3/2014 17:00:00,1.574846,4.78,27.22,54.56
